\textbf{Year},\textbf{glm inv},\textbf{gam inv},\textbf{brt inv},\textbf{max inv},\textbf{ens inv},\textbf{glm nat},\textbf{gam nat},\textbf{brt nat},\textbf{max nat},\textbf{ens nat}
2002,-,-,-,-,-,0.12,0.9,0.32,0.98,0.55
2003,0.14,0.03,0.02,0.23,0.13,0.11,0.735,0.22,0.98,0.54
2004,0.15,0.26,0.15,0.37,0.35,0.11,0.7,0.21,0.96,0.51
2005,0.18,0.17,0.11,0.33,0.27,0.09,0.675,0.21,0.95,0.49
2006,0.05,0.12,0.18,0.31,0.24,0.02,0.55,0.05,0.37,0.25
2007,0.23,0.17,0.15,0.32,0.26,0.02,0.45,0.05,0.85,0.25
2008,0.22,0.19,0.25,0.39,0.28,0.02,0.37,0.22,0.82,0.35
2009,0.21,0.22,0.21,0.38,0.28,0.02,0.47,0.21,0.84,0.47
2010,0.26,0.25,0.25,0.38,0.3,0.01,0.6,0.21,0.89,0.44
2011,0.21,0.14,0.095,0.33,0.23,0.01,0.35,0.4,0.81,0.46
2012,0.26,0.29,0.29,0.4,0.31,0.04,0.64,0.4,0.81,0.49
2013,0.22,0.28,0.27,0.39,0.3,0.01,0.34,0.4,0.82,0.42
2014,0.23,0.29,0.27,0.42,0.34,0.01,0.34,0.04,0.81,0.19
2015,0.25,0.31,0.28,0.4,0.33,0.01,0.52,0.4,0.81,0.42
2016,0.26,0.3,0.28,0.41,0.335,0.01,0.53,0.4,0.81,0.44
2017,0.245,0.3,0.29,0.42,0.34,0.01,0.5,0.4,0.8,0.44
2018,0.09,0.16,0.15,0.3,0.16,0.01,0.62,0.33,0.8,0.43
2019,0.11,0.21,0.14,0.3,0.19,0.01,0.52,0.355,0.81,0.42
2020,0.13,0.24,0.23,0.38,0.23,0.05,0.65,0.35,0.75,0.48
2021,0.18,0.33,0.27,0.43,0.32,0.05,0.6,0.34,0.8,0.48
2022,-,-,-,-,-,0.05,0.72,0.34,0.8,0.48
